Economy,Year,prediction,Consumptionpercap,GDPpercap
01_AUS,2017,12.528698183218012,276149.643183689,30.238095648948303
01_AUS,2018,12.53518630037658,277947.159364116,33.09818145701158
01_AUS,2019,12.53960253273597,279177.3530146214,9.474754138178751
01_AUS,2020,12.542862249355506,280088.8769197178,1.557253672279837
01_AUS,2021,12.544885502183973,280656.14119818475,28.041564604677376
01_AUS,2022,12.546247092230999,281038.5400828561,4.873730035230063
01_AUS,2023,12.547201729841518,281306.95814382803,31.97117429184116
01_AUS,2024,12.548016052258518,281536.1260015006,12.241866215182426
01_AUS,2025,12.548538801321172,281683.3372213823,11.118423471268605
01_AUS,2026,12.547424547312007,281369.6452323018,11.018409338290127
01_AUS,2027,12.546427666309595,281089.29294046963,24.43449318532392
01_AUS,2028,12.545480971277273,280823.3130240006,5.5978592019576086
01_AUS,2029,12.544117758714235,280440.7519709543,4.225484415508534
01_AUS,2030,12.542376941392831,279952.9805359572,36.59874976783081
01_AUS,2031,12.539103260364456,279038.0022653932,18.3029084985552
01_AUS,2032,12.53561838419192,278067.2817828048,7.007509986681048
01_AUS,2033,12.531646450118489,276965.0074013185,38.602615795852316
01_AUS,2034,12.527331006196176,275772.3557050943,1.530880226721146
01_AUS,2035,12.522519368764376,274448.6263225496,29.71980840085595
01_AUS,2036,12.516157546168785,272708.1749418139,31.986867742526854
01_AUS,2037,12.509336372208693,270854.3149789405,10.051010707902279
01_AUS,2038,12.502104472427375,268902.589565295,1.6780302210218154
01_AUS,2039,12.494258963728285,266801.1661065568,29.27593063388247
01_AUS,2040,12.485948887615647,264593.21493666817,5.120877332467521
01_AUS,2041,12.47575666993491,261910.11986461372,32.95158190960831
01_AUS,2042,12.46525320086262,259173.5519081314,13.36768062817442
01_AUS,2043,12.454447159837857,256387.9894307945,11.856338423638576
01_AUS,2044,12.443314738608846,253549.59872845735,11.257709782910853
01_AUS,2045,12.431913747746377,250675.2981415545,23.705357455127665
01_AUS,2046,12.419237834610994,247517.8141120436,5.604993171294925
01_AUS,2047,12.40653758300917,244394.1532226493,4.097853152426297
01_AUS,2048,12.39384835349911,241312.57251261146,37.98708684130653
01_AUS,2049,12.381186075334725,238276.26942032966,19.46709481370822
03_CDA,2017,12.987914163456352,437098.637388746,30.238095648948303
03_CDA,2018,12.974450427993732,431253.09667334077,33.09818145701158
03_CDA,2019,12.962548622560375,426150.82954863034,9.474754138178751
03_CDA,2020,12.95191423921199,421642.9897935844,1.557253672279837
03_CDA,2021,12.942466630553966,417678.23007202416,28.041564604677376
03_CDA,2022,12.933904684073312,414117.3571746269,4.873730035230063
03_CDA,2023,12.926338683116,410995.9679608434,31.97117429184116
03_CDA,2024,12.9190705832728,408019.63746626256,12.241866215182426
03_CDA,2025,12.912143252110695,405202.91775603796,11.118423471268605
03_CDA,2026,12.905435188039633,402493.88695647015,11.018409338290127
03_CDA,2027,12.898926836518571,399882.8213382813,24.43449318532392
03_CDA,2028,12.892755781735588,397422.7210549458,5.5978592019576086
03_CDA,2029,12.886908997561536,395105.855884522,4.225484415508534
03_CDA,2030,12.881302320480456,392896.8233903736,36.59874976783081
03_CDA,2031,12.875944041352355,390797.2027423926,18.3029084985552
03_CDA,2032,12.870769349443135,388780.17087935744,7.007509986681048
03_CDA,2033,12.865796125660465,386851.47996824776,38.602615795852316
03_CDA,2034,12.861106328008704,385041.47240798536,1.530880226721146
03_CDA,2035,12.856481377684574,383264.7864345197,29.71980840085595
03_CDA,2036,12.851991272540488,381547.7449785183,31.986867742526854
03_CDA,2037,12.84772500618267,379923.42801830225,10.051010707902279
03_CDA,2038,12.843564105755886,378345.8887324663,1.6780302210218154
03_CDA,2039,12.839508868036289,376814.7129526547,29.27593063388247
03_CDA,2040,12.835559862427544,375329.60381987283,5.120877332467521
03_CDA,2041,12.831745357816345,373900.6344531796,32.95158190960831
03_CDA,2042,12.828065120231754,372527.1202648889,13.36768062817442
03_CDA,2043,12.824432694709143,371176.39792969305,11.856338423638576
03_CDA,2044,12.821069241374614,369930.06061005016,11.257709782910853
03_CDA,2045,12.817773492814696,368712.8710226929,23.705357455127665
03_CDA,2046,12.814547786981649,367525.427964545,5.604993171294925
03_CDA,2047,12.811412457215257,366374.91910516407,4.097853152426297
03_CDA,2048,12.808430803895336,365284.14307736716,37.98708684130653
03_CDA,2049,12.805581395524511,364244.7808692685,19.46709481370822
04_CHL,2017,11.934424373812076,152424.45478224676,30.238095648948303
04_CHL,2018,11.999429742828825,162662.00579040335,33.09818145701158
04_CHL,2019,12.05886833006403,172623.52222453972,9.474754138178751
04_CHL,2020,12.112030966780427,182048.9647167882,1.557253672279837
04_CHL,2021,12.158660145099956,190738.78345787557,28.041564604677376
04_CHL,2022,12.198852583945751,198561.18808876732,4.873730035230063
04_CHL,2023,12.232710756758163,205399.2154313332,31.97117429184116
04_CHL,2024,12.260540560023315,211195.71885234732,12.241866215182426
04_CHL,2025,12.282455557623903,215875.16021707145,11.118423471268605
04_CHL,2026,12.299298764897346,219541.9841359722,11.018409338290127
04_CHL,2027,12.311294369095693,222191.38167530397,24.43449318532392
04_CHL,2028,12.319435712111698,224007.70153788629,5.5978592019576086
04_CHL,2029,12.324206204047158,225078.8814677064,4.225484415508534
04_CHL,2030,12.325747396941695,225426.0388900945,36.59874976783081
04_CHL,2031,12.325109907099431,225282.3778762045,18.3029084985552
04_CHL,2032,12.322210486923325,224630.13562357274,7.007509986681048
04_CHL,2033,12.317700483351956,223619.33398249836,38.602615795852316
04_CHL,2034,12.311419906298113,222219.27671065746,1.530880226721146
