Economy,Year,prediction,Consumptionpercap,GDPpercap
01_AUS,1995.0,12.685369167523374,322987.5858364709,4.873730035230063
01_AUS,1996.0,12.698581587203064,327283.3495969587,31.97117429184116
01_AUS,1997.0,12.713713255860199,332273.3511128841,12.241866215182426
01_AUS,1998.0,12.741389963556655,341598.0264663927,11.118423471268605
01_AUS,1999.0,12.77801376190044,354340.5594133031,11.018409338290127
01_AUS,2000.0,12.792710223383509,359586.56624361675,24.43449318532392
01_AUS,2001.0,12.766099404557721,350143.86944330984,5.5978592019576086
01_AUS,2002.0,12.782053635328054,355774.94584257953,4.225484415508534
01_AUS,2003.0,12.775664276862429,353509.01879923115,36.59874976783081
01_AUS,2004.0,12.787168722063198,357599.42776239506,18.3029084985552
01_AUS,2005.0,12.778417217287053,354483.5488636879,7.007509986681048
01_AUS,2006.0,12.758223727527096,347397.0800242368,38.602615795852316
01_AUS,2007.0,12.753904901110973,345899.9675496389,1.530880226721146
01_AUS,2008.0,12.745628259288964,343048.89235163154,29.71980840085595
01_AUS,2009.0,12.702265367721596,328491.2130101821,31.986867742526854
01_AUS,2010.0,12.663754221766055,316081.1368409063,10.051010707902279
01_AUS,2011.0,12.636116381621575,307464.9517308261,1.6780302210218154
01_AUS,2012.0,12.640329030723436,308762.9257185337,29.27593063388247
01_AUS,2013.0,12.620473949253526,302692.87278348,5.120877332467521
01_AUS,2014.0,12.599911540866584,296532.333144764,32.95158190960831
01_AUS,2015.0,12.575192226866648,289292.1126040923,13.36768062817442
01_AUS,2016.0,12.560807831476765,285160.606320726,11.856338423638576
03_CDA,1990.0,13.195482040081842,537929.096777193,30.238095648948303
03_CDA,1991.0,13.050906128076987,465518.0395813693,33.09818145701158
03_CDA,1992.0,12.996818715009836,441008.18529211846,9.474754138178751
03_CDA,1993.0,12.995588817311642,440466.1237485937,1.557253672279837
03_CDA,1994.0,13.047731697597072,464042.627962356,28.041564604677376
03_CDA,1995.0,13.050174612752455,465177.63052397047,4.873730035230063
03_CDA,1996.0,13.023430215436195,452901.62405334774,31.97117429184116
03_CDA,1997.0,13.073984934698801,476386.57439658,12.241866215182426
03_CDA,1998.0,13.114178539769668,495924.2834748655,11.118423471268605
03_CDA,1999.0,13.190430005212164,535218.3134743657,11.018409338290127
03_CDA,2000.0,13.26689271862776,577747.7990604434,24.43449318532392
03_CDA,2001.0,13.24635458634259,566002.9597107536,5.5978592019576086
03_CDA,2002.0,13.260865709476066,574276.1800367757,4.225484415508534
03_CDA,2003.0,13.240074921135616,562459.7872295945,36.59874976783081
03_CDA,2004.0,13.254887962780574,570853.5425211927,18.3029084985552
03_CDA,2005.0,13.271824403511502,580604.1065628106,7.007509986681048
03_CDA,2006.0,13.270836873251312,580031.0254524315,38.602615795852316
03_CDA,2007.0,13.252735733984366,569626.2562627174,1.530880226721146
03_CDA,2008.0,13.20339696452558,542203.6590375946,29.71980840085595
03_CDA,2009.0,13.037597037296296,459363.4644792674,31.986867742526854
03_CDA,2010.0,13.049425392437739,464829.24051996117,10.051010707902279
03_CDA,2011.0,13.063845010297554,471580.45855165436,1.6780302210218154
03_CDA,2012.0,13.039450120187425,460215.4922513321,29.27593063388247
03_CDA,2013.0,13.036878651271751,459033.58269161906,5.120877332467521
03_CDA,2014.0,13.045960204781652,463221.30747732846,32.95158190960831
03_CDA,2015.0,13.002427182090313,443488.5141012495,13.36768062817442
03_CDA,2016.0,12.97136355642067,429923.926293004,11.856338423638576
04_CHL,1990.0,11.21726440303354,74403.95686181568,30.238095648948303
04_CHL,1991.0,11.319659990217216,82426.31240415352,33.09818145701158
04_CHL,1992.0,11.517605056420422,100469.05578376619,9.474754138178751
04_CHL,1993.0,11.587302571659052,107721.29531208231,1.557253672279837
04_CHL,1994.0,11.613248990965502,110552.85274417093,28.041564604677376
04_CHL,1995.0,11.752612562025206,127085.14349448132,4.873730035230063
04_CHL,1996.0,11.83288123286485,137706.6852422706,31.97117429184116
04_CHL,1997.0,11.932539271676859,152137.38977551545,12.241866215182426
04_CHL,1998.0,11.943554290437335,153822.44942246177,11.118423471268605
04_CHL,1999.0,11.81245844187427,134922.85395229064,11.018409338290127
04_CHL,2000.0,11.855123441041346,140803.9027956944,24.43449318532392
04_CHL,2001.0,11.839318965934837,138596.0638431832,5.5978592019576086
04_CHL,2002.0,11.818881808712518,135792.30234164017,4.225484415508534
04_CHL,2003.0,11.828278556436914,137074.32232544653,36.59874976783081
04_CHL,2004.0,11.929505031744439,151676.46805941028,18.3029084985552
04_CHL,2005.0,11.988884901296473,160955.7725059776,7.007509986681048
04_CHL,2006.0,12.065480713982225,173768.7574213825,38.602615795852316
04_CHL,2007.0,12.101267694349135,180100.0293896363,1.530880226721146
04_CHL,2008.0,12.097122910393866,179355.0985326554,29.71980840085595
04_CHL,2009.0,11.938362217413811,153025.86179248375,31.986867742526854
04_CHL,2010.0,12.003996734939134,163406.58082749686,10.051010707902279
04_CHL,2011.0,12.078383354258163,176025.35994875603,1.6780302210218154
04_CHL,2012.0,12.130501441610164,185442.7413865674,29.27593063388247
04_CHL,2013.0,12.146126345180535,188363.0214736617,5.120877332467521
04_CHL,2014.0,12.094185663907895,178829.0613284094,32.95158190960831
04_CHL,2015.0,12.05906353939929,172657.2232368325,13.36768062817442
04_CHL,2016.0,11.99306851186526,161630.5593153448,11.856338423638576
05_PRC,1990.0,10.844851142517767,51269.49128825473,30.238095648948303
05_PRC,1991.0,10.914150782639354,54948.451685090535,33.09818145701158
05_PRC,1992.0,11.075187341317957,64549.48005463058,9.474754138178751
05_PRC,1993.0,11.233195071585099,75598.75332224046,1.557253672279837
05_PRC,1994.0,11.379106947422798,87474.88017568196,28.041564604677376
05_PRC,1995.0,11.489105414123287,97646.14073523661,4.873730035230063
05_PRC,1996.0,11.582212827334617,107174.41438329972,31.97117429184116
05_PRC,1997.0,11.664226560234482,116334.68835908867,12.241866215182426
05_PRC,1998.0,11.721778631850695,123226.40480715547,11.118423471268605
05_PRC,1999.0,11.77690163051173,130209.71611502947,11.018409338290127
05_PRC,2000.0,11.847630283330462,139752.77997840775,24.43449318532392
05_PRC,2001.0,11.915716577798548,149599.43649915606,5.5978592019576086
05_PRC,2002.0,11.998474183850135,162506.64688939668,4.225484415508534
05_PRC,2003.0,12.097847215129436,179485.05333763015,36.59874976783081
05_PRC,2004.0,12.198716340297242,198534.13723084482,18.3029084985552
05_PRC,2005.0,12.322935699258721,224793.09925330366,7.007509986681048
05_PRC,2006.0,12.470906758993552,260642.9544122415,38.602615795852316
05_PRC,2007.0,12.645599493861935,310394.5452554859,1.530880226721146
05_PRC,2008.0,12.738484136426392,340606.84245558624,29.71980840085595
05_PRC,2009.0,12.826727085403519,372028.9993294089,31.986867742526854
05_PRC,2010.0,12.937473054127965,415597.7208229149,10.051010707902279
05_PRC,2011.0,13.028236196633685,455083.49956956884,1.6780302210218154
05_PRC,2012.0,13.088137341777838,483176.5248660666,29.27593063388247
05_PRC,2013.0,13.146451622083106,512190.3550244765,5.120877332467521
05_PRC,2014.0,13.196664397747641,538565.4975209329,32.95158190960831
05_PRC,2015.0,13.240075815049437,562460.2900203969,13.36768062817442
05_PRC,2016.0,13.280423574618766,585618.3488861282,11.856338423638576
06_HKC,1990.0,13.460336323706446,701051.2854164292,30.238095648948303
06_HKC,1991.0,13.381800782373473,648100.3227264446,33.09818145701158
06_HKC,1992.0,13.281079059347874,586002.3386068591,9.474754138178751
06_HKC,1993.0,13.179853801504676,529587.5640257152,1.557253672279837
06_HKC,1994.0,13.08793354548395,483078.06531419157,28.041564604677376
06_HKC,1995.0,13.129602925234265,503632.90835483494,4.873730035230063
06_HKC,1996.0,13.11500486960891,496334.24986870994,31.97117429184116
06_HKC,1997.0,13.078001002048481,478303.6218831114,12.241866215182426
06_HKC,1998.0,13.435718250174249,684003.456650313,11.118423471268605
06_HKC,1999.0,13.480988575900641,715680.1125292124,11.018409338290127
06_HKC,2000.0,13.337706879196999,620143.932453261,24.43449318532392
06_HKC,2001.0,13.425022221754505,676726.3238267727,5.5978592019576086
06_HKC,2002.0,13.461600542029586,701938.1277599699,4.225484415508534
06_HKC,2003.0,13.441701160198688,688108.054263224,36.59874976783081
06_HKC,2004.0,13.229726241388777,556669.0857581868,18.3029084985552
06_HKC,2005.0,13.063306836819875,471326.7347361081,7.007509986681048
06_HKC,2006.0,12.912896765462264,405508.35862709704,38.602615795852316
06_HKC,2007.0,12.78353785450791,356303.3859043408,1.530880226721146
06_HKC,2008.0,12.805628713442061,364262.016581553,29.71980840085595
06_HKC,2009.0,12.99271057878586,439200.17990004737,31.986867742526854
06_HKC,2010.0,12.855391393194921,382847.2613511458,10.051010707902279
06_HKC,2011.0,12.783059648110267,356133.0400791767,1.6780302210218154
06_HKC,2012.0,12.819164303836446,369226.03772380366,29.27593063388247
06_HKC,2013.0,12.807137126960454,364811.8889447943,5.120877332467521
06_HKC,2014.0,12.807776080403938,365045.061242648,32.95158190960831
06_HKC,2015.0,12.824817427350595,371319.2290798535,13.36768062817442
06_HKC,2016.0,12.852005142682787,381553.0371367356,11.856338423638576
07_INA,1990.0,9.922232051815996,20378.42560471624,30.238095648948303
07_INA,1991.0,10.020568428802477,22484.206958989118,33.09818145701158
07_INA,1992.0,10.108211924469401,24543.735424528582,9.474754138178751
07_INA,1993.0,10.197287273279557,26830.30398186279,1.557253672279837
07_INA,1994.0,10.31834819040428,30283.194189248774,28.041564604677376
07_INA,1995.0,10.460641437727189,34913.939383848454,4.873730035230063
07_INA,1996.0,10.592966110597287,39853.52394700288,31.97117429184116
07_INA,1997.0,10.635228651350216,41573.93350222323,12.241866215182426
07_INA,1998.0,10.097212701117314,24275.252654490127,11.118423471268605
07_INA,1999.0,10.022479210615984,22527.210444792647,11.018409338290127
07_INA,2000.0,10.072929340852356,23692.86769879665,24.43449318532392
07_INA,2001.0,10.08529765793172,23987.72830489458,5.5978592019576086
07_INA,2002.0,10.123362870890318,24918.427547497085,4.225484415508534
07_INA,2003.0,10.169873306045188,26104.76923805497,36.59874976783081
07_INA,2004.0,10.223979922825789,27556.119761741935,18.3029084985552
07_INA,2005.0,10.297834229905535,29668.294517154067,7.007509986681048
07_INA,2006.0,10.366252714954696,31769.2053688852,38.602615795852316
07_INA,2007.0,10.459704163082463,34881.23076459069,1.530880226721146
07_INA,2008.0,10.543783309517453,37940.83719435598,29.71980840085595
07_INA,2009.0,10.587316113365999,39628.98656216192,31.986867742526854
07_INA,2010.0,10.678479226677167,43411.481104295315,10.051010707902279
07_INA,2011.0,10.768606159117338,47505.75588070423,1.6780302210218154
07_INA,2012.0,10.855241690055351,51804.98660164863,29.27593063388247
07_INA,2013.0,10.92878745883398,55758.62906801365,5.120877332467521
07_INA,2014.0,10.987166872320557,59110.678498155685,32.95158190960831
07_INA,2015.0,11.042945329198917,62501.468359399725,13.36768062817442
07_INA,2016.0,11.104740861760336,66485.61329168518,11.856338423638576
08_JPN,1990.0,13.395753319331506,657206.3447618331,30.238095648948303
08_JPN,1991.0,13.462723418753257,702726.7604308607,33.09818145701158
08_JPN,1992.0,13.442455490138741,688627.3105912204,9.474754138178751
08_JPN,1993.0,13.3752609623609,643875.6924834349,1.557253672279837
08_JPN,1994.0,13.361607199023455,635144.1112797066,28.041564604677376
08_JPN,1995.0,13.408895262390304,665900.3158308439,4.873730035230063
08_JPN,1996.0,13.469320960332725,707378.3571304184,31.97117429184116
08_JPN,1997.0,13.461305820720625,701731.2821185532,12.241866215182426
08_JPN,1998.0,13.376849689568218,644899.448333267,11.118423471268605
08_JPN,1999.0,13.323739767469275,611542.5211278882,11.018409338290127
08_JPN,2000.0,13.375539035300932,644054.7617862703,24.43449318532392
08_JPN,2001.0,13.345953696952407,625279.2925310375,5.5978592019576086
08_JPN,2002.0,13.306599273078447,601149.7034379853,4.225484415508534
08_JPN,2003.0,13.316485942965258,607122.5492339089,36.59874976783081
08_JPN,2004.0,13.3501572458499,627913.2166477768,18.3029084985552
08_JPN,2005.0,13.365877458016513,637862.1403465251,7.007509986681048
08_JPN,2006.0,13.373902499533287,643001.6051316035,38.602615795852316
08_JPN,2007.0,13.390668909742033,653873.3189347321,1.530880226721146
08_JPN,2008.0,13.31243940090944,604670.766272391,29.71980840085595
08_JPN,2009.0,13.078852274933185,478710.962141335,31.986867742526854
08_JPN,2010.0,13.184147030240196,531866.0921950875,10.051010707902279
08_JPN,2011.0,13.142780700562144,510313.59126118396,1.6780302210218154
08_JPN,2012.0,13.15823554097507,518261.66628968576,29.27593063388247
08_JPN,2013.0,13.191940862486787,536027.5631332189,5.120877332467521
08_JPN,2014.0,13.170544749169851,524680.4812581065,32.95158190960831
08_JPN,2015.0,13.184058713249355,531819.1214564822,13.36768062817442
08_JPN,2016.0,13.184286995744813,531940.5403110321,11.856338423638576
09_ROK,1990.0,13.078400922259448,478494.9434226064,30.238095648948303
09_ROK,1991.0,13.204837607916488,542985.3440850155,33.09818145701158
09_ROK,1992.0,13.250007049913465,568074.0448812316,9.474754138178751
09_ROK,1993.0,13.30795988156754,601968.1895209865,1.557253672279837
09_ROK,1994.0,13.411882040910784,667892.1857473259,28.041564604677376
09_ROK,1995.0,13.523599724086909,746835.1253969301,4.873730035230063
09_ROK,1996.0,13.598160115030892,804647.936706444,31.97117429184116
09_ROK,1997.0,13.64087502403585,839763.030133452,12.241866215182426
09_ROK,1998.0,13.447212980576909,691911.2539072969,11.118423471268605
09_ROK,1999.0,13.59597988167424,802895.5274591823,11.018409338290127
09_ROK,2000.0,13.701121677273404,891911.041450626,24.43449318532392
09_ROK,2001.0,13.722024106889195,910750.3570308128,5.5978592019576086
09_ROK,2002.0,13.801788625626955,986371.7842290364,4.225484415508534
09_ROK,2003.0,13.79365452628042,978381.0807890552,36.59874976783081
09_ROK,2004.0,13.826277546854158,1010825.1615086108,18.3029084985552
09_ROK,2005.0,13.840382095917347,1025183.4149050707,7.007509986681048
09_ROK,2006.0,13.88059059022892,1067244.4349554062,38.602615795852316
09_ROK,2007.0,13.927328318807824,1118309.0423772412,1.530880226721146
09_ROK,2008.0,13.921732822156189,1112069.022162261,29.71980840085595
09_ROK,2009.0,13.872526069748561,1058672.2321634286,31.986867742526854
09_ROK,2010.0,13.939427862479222,1131922.2622681977,10.051010707902279
09_ROK,2011.0,13.949615049843018,1143512.301150829,1.6780302210218154
09_ROK,2012.0,13.931057259889315,1122486.9356249135,29.27593063388247
09_ROK,2013.0,13.92448385353259,1115132.5709622717,5.120877332467521
09_ROK,2014.0,13.926917537143881,1117849.7558677057,32.95158190960831
09_ROK,2015.0,13.918601160933546,1108591.846238968,13.36768062817442
09_ROK,2016.0,13.913593167333074,1103053.9039315798,11.856338423638576
10_MAS,1990.0,12.070120079774115,174576.80722020735,30.238095648948303
10_MAS,1991.0,12.200082400702057,198805.53218346566,33.09818145701158
10_MAS,1992.0,12.313798802478942,222748.54258401407,9.474754138178751
10_MAS,1993.0,12.460649963516346,257983.25624339265,1.557253672279837
10_MAS,1994.0,12.587067960676476,292748.14959648263,28.041564604677376
10_MAS,1995.0,12.731542634209802,338250.70632652915,4.873730035230063
10_MAS,1996.0,12.880489022189153,392577.4109816404,31.97117429184116
10_MAS,1997.0,12.946741690627446,419467.6518143813,12.241866215182426
10_MAS,1998.0,12.523381348491284,274685.2974627252,11.118423471268605
10_MAS,1999.0,12.556870838321998,284040.13805084967,11.018409338290127
10_MAS,2000.0,12.678486442253812,320772.183765233,24.43449318532392
10_MAS,2001.0,12.538186938393949,278782.4307241026,5.5978592019576086
10_MAS,2002.0,12.559248050391489,284716.16490648396,4.225484415508534
10_MAS,2003.0,12.595785154966594,295311.24737456016,36.59874976783081
10_MAS,2004.0,12.665270980696844,316560.91949339514,18.3029084985552
10_MAS,2005.0,12.690331186004071,324594.23903131625,7.007509986681048
10_MAS,2006.0,12.724841432780408,335991.5980336335,38.602615795852316
10_MAS,2007.0,12.783237046568587,356196.2231355661,1.530880226721146
10_MAS,2008.0,12.795977471093238,360763.3459972687,29.71980840085595
10_MAS,2009.0,12.600318768597074,296653.11392478016,31.986867742526854
10_MAS,2010.0,12.694112420414456,325823.9293458709,10.051010707902279
10_MAS,2011.0,12.72025878383704,334455.3891334209,1.6780302210218154
10_MAS,2012.0,12.751716901486562,345143.96591780306,29.27593063388247
10_MAS,2013.0,12.759650386602516,347893.0509278002,5.120877332467521
10_MAS,2014.0,12.811696624243725,366479.045571185,32.95158190960831
10_MAS,2015.0,12.836714060426145,375763.0585956153,13.36768062817442
10_MAS,2016.0,12.840134263637113,377050.44492164475,11.856338423638576
11_MEX,1990.0,11.388960212284115,88341.05364926516,30.238095648948303
11_MEX,1991.0,11.429396013491688,91986.39949175844,33.09818145701158
11_MEX,1992.0,11.461749739952145,95011.16974669637,9.474754138178751
11_MEX,1993.0,11.809980613473414,134588.95211940212,1.557253672279837
11_MEX,1994.0,11.86101671390681,141636.14853229804,28.041564604677376
11_MEX,1995.0,11.756111847141552,127530.62963254505,4.873730035230063
11_MEX,1996.0,11.833683844146723,137817.25454758573,31.97117429184116
11_MEX,1997.0,11.91329236557937,149237.21494556277,12.241866215182426
11_MEX,1998.0,11.972000275546735,158260.90942527395,11.118423471268605
11_MEX,1999.0,11.999704940181875,162706.77610389228,11.018409338290127
11_MEX,2000.0,12.057773851481578,172434.692830351,24.43449318532392
11_MEX,2001.0,12.044478061590633,170157.21139253204,5.5978592019576086
11_MEX,2002.0,12.037264633627546,168934.21092173233,4.225484415508534
11_MEX,2003.0,12.050823666973145,171240.39500220586,36.59874976783081
11_MEX,2004.0,12.097115092433755,179353.69634713122,18.3029084985552
11_MEX,2005.0,12.120359583393277,183571.51230519352,7.007509986681048
11_MEX,2006.0,12.17144491797318,193192.99029264573,38.602615795852316
11_MEX,2007.0,12.191679875237336,197142.06209871435,1.530880226721146
11_MEX,2008.0,12.195579493432936,197912.3417934111,29.71980840085595
11_MEX,2009.0,12.10843081144526,181394.73852977587,31.986867742526854
11_MEX,2010.0,12.16670504527843,192279.44686325372,10.051010707902279
11_MEX,2011.0,12.206455677634398,200076.62109407762,1.6780302210218154
11_MEX,2012.0,12.246604039873102,208272.8004255864,29.27593063388247
11_MEX,2013.0,12.25640016076656,210323.0920133519,5.120877332467521
11_MEX,2014.0,12.286982590168822,216854.64951016122,32.95158190960831
11_MEX,2015.0,12.323737586754927,224973.4303217796,13.36768062817442
11_MEX,2016.0,12.356132765146597,232380.81877139802,11.856338423638576
12_NZ,1990.0,12.316982948445911,223458.93685684944,30.238095648948303
12_NZ,1991.0,12.120589755287154,183613.7701709423,33.09818145701158
12_NZ,1992.0,12.034632061074774,168490.0642355346,9.474754138178751
12_NZ,1993.0,12.160063586848864,191006.6621618253,1.557253672279837
12_NZ,1994.0,12.237787589718534,206444.64442703407,28.041564604677376
12_NZ,1995.0,12.29777660780023,219208.06095295068,4.873730035230063
12_NZ,1996.0,12.320486597957055,224243.23179671558,31.97117429184116
12_NZ,1997.0,12.337309364230649,228047.5329891514,12.241866215182426
12_NZ,1998.0,12.277570589313841,214823.1884168596,11.118423471268605
12_NZ,1999.0,12.383615325527654,238855.8057281346,11.018409338290127
12_NZ,2000.0,12.366486528501568,234799.3335365228,24.43449318532392
12_NZ,2001.0,12.401809728764306,243241.4204114877,5.5978592019576086
12_NZ,2002.0,12.481341181182204,263376.8515526989,4.225484415508534
12_NZ,2003.0,12.538680703145161,278920.11765132967,36.59874976783081
12_NZ,2004.0,12.544295927732437,280490.7222758437,18.3029084985552
12_NZ,2005.0,12.556880442153485,284042.86593756994,7.007509986681048
12_NZ,2006.0,12.544687223746195,280600.49865349557,38.602615795852316
12_NZ,2007.0,12.584621926389813,292032.9526399413,1.530880226721146
12_NZ,2008.0,12.40570385957359,244190.48100453807,29.71980840085595
12_NZ,2009.0,12.371991593409266,236095.48352944836,31.986867742526854
12_NZ,2010.0,12.29910215647857,219498.82457652176,10.051010707902279
12_NZ,2011.0,12.296564272362374,218942.46827862898,1.6780302210218154
12_NZ,2012.0,12.285508610954109,216535.24571927247,29.27593063388247
12_NZ,2013.0,12.253241461093607,209659.79266461238,5.120877332467521
12_NZ,2014.0,12.286006977253036,216643.1864830543,32.95158190960831
12_NZ,2015.0,12.356233609531074,232404.25425368056,13.36768062817442
12_NZ,2016.0,12.38966768164758,240305.82973021586,11.856338423638576
14_PE,1990.0,10.214728124383909,27302.351810951226,30.238095648948303
14_PE,1991.0,10.209268151237282,27153.68792296376,33.09818145701158
14_PE,1992.0,10.146801061412363,25509.368642366666,9.474754138178751
14_PE,1993.0,10.205779946963636,27059.13531797895,1.557253672279837
14_PE,1994.0,10.404504108524463,33007.962807049866,28.041564604677376
14_PE,1995.0,10.510661938109225,36704.76778891375,4.873730035230063
14_PE,1996.0,10.525886690806683,37267.864428071516,31.97117429184116
14_PE,1997.0,10.617565303289544,40846.04603397616,12.241866215182426
14_PE,1998.0,10.569516646486733,38929.8522952754,11.118423471268605
14_PE,1999.0,10.562658413302804,38663.7757408625,11.018409338290127
14_PE,2000.0,10.581729114904789,39408.19682550006,24.43449318532392
14_PE,2001.0,10.558411714334714,38499.930471327985,5.5978592019576086
14_PE,2002.0,10.635717479646953,41594.260985245295,4.225484415508534
14_PE,2003.0,10.687435773619464,43802.044511481516,36.59874976783081
14_PE,2004.0,10.755740087712018,46898.458576052675,18.3029084985552
14_PE,2005.0,10.850870505460739,51579.03164748022,7.007509986681048
14_PE,2006.0,10.970780383052798,58149.95493993063,38.602615795852316
14_PE,2007.0,11.110218200836815,66850.77668831652,1.530880226721146
14_PE,2008.0,11.26138353582798,77760.08527894567,29.71980840085595
14_PE,2009.0,11.249915512054804,76873.42461261473,31.986867742526854
14_PE,2010.0,11.384478316614599,87946.00420995246,10.051010707902279
14_PE,2011.0,11.478806286882895,96645.63173583506,1.6780302210218154
14_PE,2012.0,11.568831434784045,105749.82423048235,29.27593063388247
14_PE,2013.0,11.65292237223079,115027.02413655866,5.120877332467521
14_PE,2014.0,11.666521833558097,116602.01494231552,32.95158190960831
14_PE,2015.0,11.698758602566352,120422.130435045,13.36768062817442
14_PE,2016.0,11.746152203148778,126266.77418566149,11.856338423638576
15_RP,1990.0,10.879462616539099,53075.070588079645,30.238095648948303
15_RP,1991.0,10.768839925016296,47516.862404545886,33.09818145701158
15_RP,1992.0,10.682064786981226,43567.41497577288,9.474754138178751
15_RP,1993.0,10.639774976562194,41763.372423443434,1.557253672279837
15_RP,1994.0,10.652737076623184,42308.2371021104,28.041564604677376
15_RP,1995.0,10.673407077117504,43191.84905369922,4.873730035230063
15_RP,1996.0,10.722382634863775,45359.85015177034,31.97117429184116
15_RP,1997.0,10.756864053601944,46951.200478279316,12.241866215182426
15_RP,1998.0,10.65323913209535,42329.48351705846,11.118423471268605
15_RP,1999.0,10.639553061478608,41754.105529431086,11.018409338290127
15_RP,2000.0,10.658143451408991,42537.59071556191,24.43449318532392
15_RP,2001.0,10.641145505299237,41820.64956652528,5.5978592019576086
15_RP,2002.0,10.642867556546662,41892.72891263108,4.225484415508534
15_RP,2003.0,10.677153679171113,43353.975245577305,36.59874976783081
15_RP,2004.0,10.753675195066977,46801.718207486134,18.3029084985552
15_RP,2005.0,10.787791026969288,48425.9461705048,7.007509986681048
15_RP,2006.0,10.835423836203264,50788.42921189132,38.602615795852316
15_RP,2007.0,10.917183824592598,55115.36564488036,1.530880226721146
15_RP,2008.0,10.942622586240644,56535.417900988476,29.71980840085595
15_RP,2009.0,10.896219931249846,53971.9599905263,31.986867742526854
15_RP,2010.0,11.00275224551605,60039.15703042758,10.051010707902279
15_RP,2011.0,11.015979315336793,60838.57447244408,1.6780302210218154
15_RP,2012.0,11.099858836044787,66161.81984496031,29.27593063388247
15_RP,2013.0,11.192501541979267,72584.12710411697,5.120877332467521
15_RP,2014.0,11.264398701820028,77994.89866639258,32.95158190960831
15_RP,2015.0,11.33528165752098,83724.0589244481,13.36768062817442
15_RP,2016.0,11.425773861800867,91653.81350138706,11.856338423638576
17_SIN,1990.0,13.917646684564344,1107534.2263355388,30.238095648948303
17_SIN,1991.0,13.907357091910939,1096196.580208595,33.09818145701158
17_SIN,1992.0,13.901694206776627,1090006.4883220268,9.474754138178751
17_SIN,1993.0,13.988536224901026,1188896.6200267684,1.557253672279837
17_SIN,1994.0,14.065981359974954,1284630.0807630464,28.041564604677376
17_SIN,1995.0,14.063431090020998,1281358.1012550206,4.873730035230063
17_SIN,1996.0,14.078221229935364,1300450.4077624914,31.97117429184116
17_SIN,1997.0,14.112848823124011,1346270.6188803506,12.241866215182426
17_SIN,1998.0,13.910215413563463,1099334.34486326,11.118423471268605
17_SIN,1999.0,13.897320961140993,1085250.0303643744,11.018409338290127
17_SIN,2000.0,13.942030654936671,1134872.258443346,24.43449318532392
17_SIN,2001.0,13.759766772536807,945781.4278339492,5.5978592019576086
17_SIN,2002.0,13.694405910925212,885941.2436138069,4.225484415508534
17_SIN,2003.0,13.632485692135846,832747.4485244609,36.59874976783081
17_SIN,2004.0,13.682964253820044,875862.3771093983,18.3029084985552
17_SIN,2005.0,13.690688403696553,882653.864849592,7.007509986681048
17_SIN,2006.0,13.729863924865525,917918.5359461476,38.602615795852316
17_SIN,2007.0,13.776563831319864,961801.946198655,1.530880226721146
17_SIN,2008.0,13.662182703238244,857848.4260411445,29.71980840085595
17_SIN,2009.0,13.495314698209254,726006.8276281914,31.986867742526854
17_SIN,2010.0,13.680068183855298,873329.4878683509,10.051010707902279
17_SIN,2011.0,13.680190809692164,873436.5871940987,1.6780302210218154
17_SIN,2012.0,13.633761093495991,833810.2133347478,29.27593063388247
17_SIN,2013.0,13.613344064163813,816958.8980267281,5.120877332467521
17_SIN,2014.0,13.56731753118865,780209.3274512681,32.95158190960831
17_SIN,2015.0,13.484477257999115,718181.2532316656,13.36768062817442
17_SIN,2016.0,13.405376983107487,663561.6090694417,11.856338423638576
18_CT,1990.0,13.706235663140859,896483.9448270493,30.238095648948303
18_CT,1991.0,13.753276517102421,939662.9415293166,33.09818145701158
18_CT,1992.0,13.802879222313635,987448.1048379148,9.474754138178751
18_CT,1993.0,13.827615397229351,1012178.3993432226,1.557253672279837
18_CT,1994.0,13.870994708904192,1057052.2636548234,28.041564604677376
18_CT,1995.0,13.890502986895198,1077875.990180164,4.873730035230063
18_CT,1996.0,13.898037587704124,1086028.0280973995,31.97117429184116
