Economy,Year,GDP,Population,GDPpercap,lnGDPpercap
01_AUS,2017,1157.2839262402715,24.451,47.330740102256414,3.8571599808602643
02_BD,2017,32.43736557551188,0.429,75.61157476809296,4.325609376864107
03_CDA,2017,1702.5611200816886,36.624,46.48757973136983,3.8391851743638843
04_CHL,2017,433.1239066425917,18.055,23.989139110639254,3.177601190865452
05_PRC,2017,22363.53103425593,1409.517,15.866095289560842,2.7641844607587154
06_HKC,2017,436.58901554723224,7.365,59.27888873689508,4.082253234808329
07_INA,2017,3112.331291858526,263.991,11.789535597268568,2.46721232422884
08_JPN,2017,5210.443686636038,127.484,40.87135394744469,3.71042942517634
09_ROK,2017,1948.9256663767817,50.982,38.227720889270365,3.64356093016535
10_MAS,2017,893.3100835628853,31.624,28.24785237676718,3.341017432641288
11_MEX,2017,2359.4698788386995,129.16299999999998,18.26738213605057,2.9051170725507784
12_NZ,2017,182.28064632235973,4.706,38.73366900177639,3.6567092218509556
13_PNG,2017,33.23962869858415,8.251,4.028557592847431,1.3934083944832831
14_PE,2017,414.7337437784622,32.165,12.893945088713267,2.5567578282096894
15_RP,2017,840.1025536794957,104.918,8.007229967017057,2.080344879424543
16_RUS,2017,3831.9190602778194,143.989,26.612581935271578,3.281384109041409
17_SIN,2017,505.8220797008317,5.709,88.60081970587349,4.484141109327532
18_CT,2017,1144.7780219658462,23.626,48.454161600179724,3.8806182293885847
19_THA,2017,1184.110262666981,69.038,17.151572505967454,2.8420898607186134
20_USA,2017,18610.635383097208,324.459,57.35897411721422,4.0493293111456214
21_VN,2017,621.3286484488359,95.54,6.50333523601461,1.872315158537028
27_WOR,2017,122744.62335969409,7555.0705911783825,16.246654730534996,2.787887024846797
01_AUS,2018,1201.142573044593,24.772,48.48791268547526,3.881314543902338
02_BD,2018,33.069907447754844,0.434,76.19794342800655,4.333334473194615
03_CDA,2018,1736.225570615856,36.954,46.98342725052378,3.849794927836955
04_CHL,2018,457.4892746900239,18.197,25.14091744188734,3.2244966958091776
05_PRC,2018,23659.612528474434,1415.046,16.720030676369838,2.8166074423659873
06_HKC,2018,449.15979307632864,7.4289999999999985,60.46033020276332,4.101987450844227
07_INA,2018,3295.6092802902385,266.795,12.352590117094541,2.513865767165076
08_JPN,2018,5250.003682047788,127.185,41.278481598048415,3.720341337503783
09_ROK,2018,2013.3426615851529,51.164,39.35076736739021,3.6725154757505294
10_MAS,2018,936.2440521866721,32.043,29.21836445359898,3.3747974312309594
11_MEX,2018,2423.064928041367,130.76,18.530628082298616,2.9194249351517905
12_NZ,2018,186.68281121246758,4.749,39.309920238464436,3.671476910392393
13_PNG,2018,34.876684370918056,8.418,4.143108145749354,1.4214462660008647
14_PE,2018,432.9314934077994,32.552,13.29968952469278,2.5877406909471707
15_RP,2018,883.4396102815883,106.512,8.294273042301228,2.115565281743045
16_RUS,2018,3970.161308865174,143.965,27.577267452958523,3.3169917903340873
17_SIN,2018,527.0875184836726,5.792000000000002,91.00267929621417,4.510888948898959
18_CT,2018,1174.2262779100427,23.694000000000006,49.557958888749994,3.9031428712629115
19_THA,2018,1226.9865831792758,69.184,17.735120594057527,2.8755468879801676
20_USA,2018,19124.82455689129,326.767,58.52740502220631,4.06949510646184
21_VN,2018,659.4645195271681,96.491,6.834466629293593,1.9219784319142685
01_AUS,2019,1245.0390436902644,25.089,49.62489711388515,3.9044926657333696
