Economy,Year,SteelConsumption
13_PNG,1990,-1.0
14_PE,1990,425000.0
15_RP,1990,2316000.0
16_RUS,1990,-1.0
17_SIN,1990,3453000.0
18_CT,1990,15350000.0
19_THA,1990,6783000.0
20_USA,1990,103052000.0
21_VN,1990,215000.0
01_AUS,1991,5294000.0
02_BD,1991,-1.0
03_CDA,1991,10688000.0
04_CHL,1991,1131000.0
05_PRC,1991,70863000.0
06_HKC,1991,2301000.0
07_INA,1991,4479000.0
08_JPN,1991,99151000.0
09_ROK,1991,26068000.0
10_MAS,1991,4137000.0
11_MEX,1991,9072000.0
12_NZ,1991,538000.0
13_PNG,1991,-1.0
14_PE,1991,552000.0
15_RP,1991,2076000.0
16_RUS,1991,-1.0
17_SIN,1991,3631000.0
18_CT,1991,18920000.0
19_THA,1991,7114000.0
20_USA,1991,89599000.0
21_VN,1991,263000.0
01_AUS,1992,5120000.0
02_BD,1992,-1.0
03_CDA,1992,11160000.0
04_CHL,1992,1440000.0
05_PRC,1992,85856000.0
06_HKC,1992,2233000.0
07_INA,1992,4452000.0
08_JPN,1992,84040000.0
09_ROK,1992,23238000.0
10_MAS,1992,4532000.0
11_MEX,1992,9431000.0
12_NZ,1992,619000.0
13_PNG,1992,-1.0
14_PE,1992,508000.0
15_RP,1992,2666000.0
16_RUS,1992,59057000.0
17_SIN,1992,3399000.0
18_CT,1992,21300000.0
19_THA,1992,8568000.0
20_USA,1992,97372000.0
21_VN,1992,485000.0
01_AUS,1993,5757000.0
02_BD,1993,-1.0
03_CDA,1993,12714000.0
04_CHL,1993,1607000.0
05_PRC,1993,129420000.0
06_HKC,1993,4091000.0
07_INA,1993,5833000.0
08_JPN,1993,80589000.0
09_ROK,1993,26710000.0
10_MAS,1993,5592000.0
11_MEX,1993,8745000.0
12_NZ,1993,726000.0
13_PNG,1993,-1.0
14_PE,1993,634000.0
15_RP,1993,3069000.0
16_RUS,1993,39747000.0
17_SIN,1993,4156000.0
18_CT,1993,25110000.0
19_THA,1993,8055000.0
20_USA,1993,104356000.0
21_VN,1993,899000.0
01_AUS,1994,6326000.0
02_BD,1994,-1.0
03_CDA,1994,15324000.0
04_CHL,1994,1549000.0
05_PRC,1994,118515000.0
06_HKC,1994,4474000.0
07_INA,1994,5281000.0
08_JPN,1994,79333000.0
09_ROK,1994,32188000.0
10_MAS,1994,5302000.0
11_MEX,1994,11101000.0
12_NZ,1994,844000.0
13_PNG,1994,-1.0
14_PE,1994,815000.0
15_RP,1994,3114000.0
16_RUS,1994,21037000.0
17_SIN,1994,4089000.0
18_CT,1994,22980000.0
19_THA,1994,11375000.0
20_USA,1994,117471000.0
21_VN,1994,552000.0
01_AUS,1995,6256000.0
02_BD,1995,-1.0
03_CDA,1995,15047000.0
04_CHL,1995,1683000.0
05_PRC,1995,99944000.0
06_HKC,1995,3404000.0
07_INA,1995,7262000.0
08_JPN,1995,84340000.0
09_ROK,1995,37306000.0
10_MAS,1995,8313000.0
11_MEX,1995,8423000.0
12_NZ,1995,908000.0
13_PNG,1995,-1.0
14_PE,1995,1152000.0
15_RP,1995,4686000.0
16_RUS,1995,21894000.0
17_SIN,1995,4993000.0
18_CT,1995,24090000.0
19_THA,1995,11958000.0
20_USA,1995,112583000.0
21_VN,1995,752000.0
01_AUS,1996,6400000.0
02_BD,1996,-1.0
03_CDA,1996,15300000.0
04_CHL,1996,2159000.0
05_PRC,1996,111934000.0
06_HKC,1996,4563000.0
07_INA,1996,7675000.0
08_JPN,1996,84400000.0
09_ROK,1996,39400000.0
10_MAS,1996,8705000.0
11_MEX,1996,11924000.0
12_NZ,1996,916000.0
13_PNG,1996,-1.0
14_PE,1996,856000.0
15_RP,1996,4992000.0
16_RUS,1996,19600000.0
17_SIN,1996,4872000.0
18_CT,1996,21610000.0
19_THA,1996,9684000.0
20_USA,1996,119867000.0
21_VN,1996,1703000.0
01_AUS,1997,6500000.0
02_BD,1997,-1.0
03_CDA,1997,17700000.0
04_CHL,1997,2321000.0
05_PRC,1997,114721000.0
06_HKC,1997,5116000.0
07_INA,1997,7486000.0
08_JPN,1997,85500000.0
09_ROK,1997,39900000.0
10_MAS,1997,8848000.0
11_MEX,1997,14438000.0
12_NZ,1997,780000.0
13_PNG,1997,-1.0
14_PE,1997,1160000.0
15_RP,1997,4601000.0
16_RUS,1997,18600000.0
17_SIN,1997,5611000.0
18_CT,1997,25240000.0
19_THA,1997,8366000.0
20_USA,1997,124017000.0
21_VN,1997,1720000.0
01_AUS,1998,6600000.0
02_BD,1998,-1.0
03_CDA,1998,18200000.0
04_CHL,1998,2214000.0
05_PRC,1998,122939000.0
06_HKC,1998,4961000.0
07_INA,1998,3626000.0
08_JPN,1998,72500000.0
09_ROK,1998,25800000.0
10_MAS,1998,4471000.0
11_MEX,1998,16832000.0
12_NZ,1998,740000.0
13_PNG,1998,-1.0
14_PE,1998,1436000.0
15_RP,1998,3257000.0
16_RUS,1998,18400000.0
17_SIN,1998,4820000.0
18_CT,1998,24220000.0
19_THA,1998,4187000.0
20_USA,1998,135145000.0
21_VN,1998,2123000.0
01_AUS,1999,6600000.0
02_BD,1999,-1.0
03_CDA,1999,18200000.0
04_CHL,1999,1737000.0
05_PRC,1999,136181000.0
06_HKC,1999,5037000.0
07_INA,1999,3546000.0
08_JPN,1999,71000000.0
09_ROK,1999,35200000.0
10_MAS,1999,6158000.0
11_MEX,1999,17623000.0
12_NZ,1999,830000.0
13_PNG,1999,-1.0
14_PE,1999,929000.0
15_RP,1999,3589000.0
16_RUS,1999,21589000.0
17_SIN,1999,3706000.0
18_CT,1999,24470000.0
19_THA,1999,6909000.0
20_USA,1999,127857000.0
21_VN,1999,2538000.0
01_AUS,2000,6100000.0
02_BD,2000,-1.0
03_CDA,2000,19800000.0
04_CHL,2000,1977000.0
05_PRC,2000,138086000.0
06_HKC,2000,5223000.0
07_INA,2000,5287000.0
08_JPN,2000,79600000.0
09_ROK,2000,40000000.0
10_MAS,2000,6761000.0
11_MEX,2000,19800000.0
12_NZ,2000,960000.0
13_PNG,2000,-1.0
14_PE,2000,1098000.0
15_RP,2000,3309000.0
16_RUS,2000,29412000.0
17_SIN,2000,3730000.0
18_CT,2000,25300000.0
19_THA,2000,7177000.0
20_USA,2000,133262000.0
21_VN,2000,2934000.0
01_AUS,2001,6000000.0
02_BD,2001,-1.0
03_CDA,2001,16900000.0
04_CHL,2001,2278000.0
05_PRC,2001,170648000.0
06_HKC,2001,5057000.0
07_INA,2001,5457000.0
08_JPN,2001,75200000.0
09_ROK,2001,39700000.0
10_MAS,2001,8024000.0
11_MEX,2001,18790000.0
12_NZ,2001,1000000.0
13_PNG,2001,-1.0
14_PE,2001,1023000.0
15_RP,2001,3386000.0
16_RUS,2001,31861000.0
17_SIN,2001,3547000.0
18_CT,2001,20910000.0
19_THA,2001,8178000.0
20_USA,2001,114386000.0
21_VN,2001,4036000.0
01_AUS,2002,6800000.0
02_BD,2002,-1.0
03_CDA,2002,17671000.0
04_CHL,2002,2270000.0
05_PRC,2002,205720000.0
06_HKC,2002,4966000.0
07_INA,2002,5248000.0
08_JPN,2002,73600000.0
09_ROK,2002,45400000.0
10_MAS,2002,7640000.0
11_MEX,2002,19673000.0
12_NZ,2002,1100000.0
13_PNG,2002,-1.0
14_PE,2002,1310000.0
15_RP,2002,4041000.0
16_RUS,2002,29260000.0
17_SIN,2002,3781000.0
18_CT,2002,24470000.0
19_THA,2002,10806000.0
20_USA,2002,118257000.0
21_VN,2002,5234000.0
01_AUS,2003,7000000.0
02_BD,2003,-1.0
03_CDA,2003,17233000.0
04_CHL,2003,2290000.0
05_PRC,2003,258570000.0
