Economy,Year,GDP,SteelConsumption,Population,GDPpercap,Conspercap,lnGDPpercap,lnConspercap
01_AUS,1990.0,515.3176260493769,5511000.0,17.042,30.2380956489483,323377.53784767044,3.409102574756535,12.686575767459608
03_CDA,1990.0,916.5548409075647,11222000.0,27.692,33.09818145701158,405243.3915932399,3.499478339997929,12.912243132477276
04_CHL,1990.0,125.464694297763,930000.0,13.242,9.47475413817875,70231.08291798821,2.2486308021546457,11.159546268626784
05_PRC,1990.0,1825.7958390498056,68634000.0,1172.446,1.557253672279837,58539.15660081573,0.4429238033319265,10.977451152913115
06_HKC,1990.0,162.13632654424458,2026000.0,5.782,28.041564604677376,350397.7862331373,3.3336878596352655,12.766824320196612
07_INA,1990.0,884.2749564020372,4690000.0,181.437,4.873730035230064,25849.192832773908,1.5838595649185012,10.160034654411303
08_JPN,1990.0,3980.9227381228943,99032000.0,124.516,31.971174291841162,795335.5392078126,3.464834693452582,13.58651936649002
09_ROK,1990.0,525.4576235542752,21478000.0,42.923,12.241866215182423,500384.40929105604,2.5048617340226857,13.123131900596826
10_MAS,1990.0,200.55412257474308,2938000.0,18.038,11.118423471268605,162878.36789000998,2.4086035046050367,12.000758991972443
11_MEX,1990.0,940.5093842977684,8257000.0,85.35799999999998,11.018409338290127,96733.75664846883,2.399567450138426,11.479717706858628
12_NZ,1990.0,83.052842336916,680000.0,3.399,24.43449318532392,200058.84083553986,3.195995789165656,12.20636680643831
14_PE,1990.0,122.1844728011287,425000.0,21.827,5.597859201957608,19471.297017455443,1.7223842392867126,9.876696712349613
15_RP,1990.0,261.7603085719227,2316000.0,61.948,4.225484415508534,37386.19487311939,1.4411339087950386,10.529056794221095
17_SIN,1990.0,110.27203305047426,3453000.0,3.013,36.598749767830824,1146033.8533023566,3.6000140804749923,13.951817716223966
18_CT,1990.0,371.75037451415466,15350000.0,20.311,18.3029084985552,755748.1167840087,2.907059981565929,13.535463420788131
19_THA,1990.0,396.5059375763737,6783000.0,56.583,7.007509986681048,119876.99485711256,1.9469824291975744,11.694221453191073
20_USA,1990.0,9748.318566926584,103052000.0,252.53,38.60261579585231,408078.24812893517,3.653320040906649,12.91921421962772
21_VN,1990.0,104.42134026464936,215000.0,68.21,1.530880226721146,3152.0304940624546,0.42584288155852956,8.055802125443172
01_AUS,1991.0,513.3205306995841,5294000.0,17.272000000000002,29.719808400855953,306507.6424270495,3.3918137730204316,12.632997968556678
03_CDA,1991.0,897.0717058391658,10688000.0,28.045,31.986867742526858,381101.8006774826,3.4653254355235235,12.850821811798264
04_CHL,1991.0,135.25645109624097,1131000.0,13.457,10.051010707902279,84045.47818978969,2.307673197398943,11.339113338338853
05_PRC,1991.0,1995.4866903556065,70863000.0,1189.184,1.6780302210218154,59589.60093644045,0.517620618026943,10.995236356897665
06_HKC,1991.0,171.38129793074796,2301000.0,5.854,29.275930633882467,393064.57123334473,3.376765698351096,12.88172918074781
07_INA,1991.0,945.3958896108239,4479000.0,184.616,5.120877332467521,24261.16912943623,1.6333257783695598,10.096632372987159
08_JPN,1991.0,4116.970643786462,99151000.0,124.94,32.95158190960831,793588.9226828878,3.4950392691924086,13.584320876542488
09_ROK,1991.0,579.86325028895,26068000.0,43.378,13.36768062817442,600949.7902162386,2.5928399002367892,13.306266666293993
10_MAS,1991.0,219.6979509900228,4137000.0,18.53,11.856338423638574,223259.57906098219,2.472862612650273,12.31609040514628
11_MEX,1991.0,980.2200485078308,9072000.0,87.071,11.257709782910853,104190.83276866007,2.421053207966517,11.55397942716304
12_NZ,1991.0,81.68866179036993,538000.0,3.446,23.705357455127665,156123.04120719674,3.1657010755539385,11.958399701038184
14_PE,1991.0,124.89606283596486,552000.0,22.283,5.604993171294926,24772.247901988063,1.72365783819955,10.117479269354401
15_RP,1991.0,260.2464580042893,2076000.0,63.508,4.097853152426297,32688.79511242678,1.410463215213284,10.394787641052652
17_SIN,1991.0,117.64600794752633,3631000.0,3.097,37.987086841306535,1172424.9273490475,3.63724628200888,13.974584749405407
18_CT,1991.0,399.4258513876652,18920000.0,20.518,19.46709481370822,922117.1654157325,2.9687255947790847,13.734427571922485
19_THA,1991.0,430.4399479033422,7114000.0,57.258,7.5175512225949594,124244.64703622201,2.01724044963784,11.730007860827365
20_USA,1991.0,9741.096570863929,89599000.0,254.975,38.204124211644,351403.0787332092,3.6429434734404755,12.76968921603201
21_VN,1991.0,110.6457333892697,263000.0,69.67,1.588140281172236,3774.9389981340605,0.4625636971930189,8.236139502117874
01_AUS,1992.0,515.5925686283554,5120000.0,17.486,29.486021310096955,292805.6731099165,3.38391629714652,12.58726443625699
03_CDA,1992.0,904.9926339347306,11160000.0,28.385,31.88277730966111,393165.40426281485,3.462065967745472,12.881985678294749
04_CHL,1992.0,150.36014368138814,1440000.0,13.671,10.99847441162959,105332.45556287031,2.3977565733281883,11.564876870602328
05_PRC,1992.0,2279.168342538583,85856000.0,1204.004,1.8929906732357893,71308.73319357744,0.6381579452397652,11.174774084085104
06_HKC,1992.0,182.0668115952936,2233000.0,5.92,30.754528985691486,377195.945945946,3.4260372674948187,12.84052008192638
07_INA,1992.0,1006.8230491481032,4452000.0,187.766,5.362115873737009,23710.362898501327,1.6793586497512911,10.073667484657264
08_JPN,1992.0,4151.8854194860505,84040000.0,125.341,33.12471912212325,670490.9008225561,3.5002798049383084,13.415765410877345
09_ROK,1992.0,615.6727382845621,23238000.0,43.853,14.03946681605733,529906.7338608532,2.641872421812263,13.180456296195644
10_MAS,1992.0,239.21837310386329,4532000.0,19.013,12.581832067735931,238363.22516173142,2.532253874034122,12.381550945402585
11_MEX,1992.0,1015.7888887057768,9431000.0,88.82799999999997,11.435458286866496,106171.47746206154,2.436718904228853,11.57281077791401
12_NZ,1992.0,82.72324666990603,619000.0,3.504,23.608232497119303,176655.25114155252,3.161595485826612,12.081955378592589
14_PE,1992.0,124.2209882199155,508000.0,22.737,5.46338515283087,22342.43743677706,1.6980685890025375,10.014243173062617
15_RP,1992.0,261.12505793249915,2666000.0,65.075,4.0126785698424765,40968.113714944295,1.389458990853421,10.620549328840163
16_RUS,1992.0,2617.208589481355,59057000.0,148.31799999999996,17.645926923781037,398178.2386493886,2.8705049875571227,12.894655019820535
17_SIN,1992.0,125.98428751879324,3399000.0,3.189,39.50589135114244,1065851.3640639698,3.676449808915788,13.879284440650332
18_CT,1992.0,429.4839265359943,21300000.0,20.717,20.73099032369524,1028141.1401264663,3.0316296977955357,13.843263011415901
19_THA,1992.0,465.2340791003196,8568000.0,57.838,8.043744235629164,148137.90241709602,2.084894675734744,11.90589889200366
20_USA,1992.0,10087.431143085003,97372000.0,257.455,39.181337100017494,378209.78423413803,3.668200539040191,12.843204305401043
21_VN,1992.0,120.21221601008259,485000.0,71.13,1.6900353719961,6818.501335582736,0.5247494588911562,8.827394981174196
01_AUS,1993.0,536.4177591440542,5757000.0,17.688,30.326648526913967,325474.8982360923,3.4120268153282836,12.693040620102801
03_CDA,1993.0,929.0223230891361,12714000.0,28.711,32.3577138758363,442826.79112535267,3.4768524430889016,13.000933981882792
04_CHL,1993.0,160.26704850983708,1607000.0,13.883,11.544122200521292,115753.0793056256,2.446176407046285,11.659214574666985
05_PRC,1993.0,2595.23374497076,129420000.0,1217.129,2.1322585732249912,106332.19650505412,0.7571817809499958,11.574323401866682
06_HKC,1993.0,193.3570828093901,4091000.0,5.984,32.31234672616813,683656.4171122995,3.475449408773239,13.435210756239359
07_INA,1993.0,1072.2303834715538,5833000.0,190.88,5.617300835454494,30558.466051969826,1.7258512701461128,10.32739704738617
08_JPN,1993.0,4130.381980864649,80589000.0,125.717,32.85460185070157,641035.0231074557,3.4920918218987307,13.370839372643353
09_ROK,1993.0,657.8262740418855,26710000.0,44.341,14.83562107399214,602377.0325432444,2.6970311183192415,13.308638828152745
10_MAS,1993.0,262.8888956244558,5592000.0,19.495,13.484939503690988,286842.78020005126,2.601573470388897,12.566689540461223
11_MEX,1993.0,1321.2310835923656,8745000.0,90.601,14.582963583099145,96522.11344245648,2.679853969512315,11.477527415919225
12_NZ,1993.0,88.12741370470958,726000.0,3.565,24.720172147183614,203646.56381486676,3.2076195964480747,12.224141239940673
14_PE,1993.0,130.73461139699359,634000.0,23.184,5.639001526785437,27346.445824706694,1.7297070155796523,10.216341847841036
15_RP,1993.0,266.6512662800613,3069000.0,66.65,4.000769186497544,46046.51162790697,1.3864866392576505,10.737407286977156
16_RUS,1993.0,2390.3348070809616,39747000.0,148.431,16.10401336028836,267780.9891464721,2.779068517962603,12.49792472072188
17_SIN,1993.0,140.51958288176309,4156000.0,3.2880000000000003,42.73709941659461,1263990.2676399027,3.7550673818087597,14.049784154007321
18_CT,1993.0,455.9600185259515,25110000.0,20.903,21.813137756587643,1201262.9766062289,3.0825124376595823,13.998884041794122
19_THA,1993.0,503.62074358725965,8055000.0,58.365,8.62881424804694,138010.79414032382,2.1551070968194397,11.835087179488585
20_USA,1993.0,10364.417548894113,104356000.0,260.02,39.86007825895744,401338.358587801,3.685375278128367,12.902560137502578
21_VN,1993.0,129.91662442552663,899000.0,72.561,1.7904469952939819,12389.575667369523,0.5824653067196339,9.424610726043937
01_AUS,1994.0,557.759321916292,6326000.0,17.883,31.18935983427233,353743.77900799643,3.440077005698347,12.776328141941832
03_CDA,1994.0,970.7677053797896,15324000.0,29.027,33.44361130601818,527922.2792572433,3.509860775986634,13.176704353477222
04_CHL,1994.0,168.32879834245458,1549000.0,14.091,11.945837651157092,109928.32304307715,2.4803829039915057,11.607583823686038
05_PRC,1994.0,2933.967772577387,118515000.0,1228.992,2.3872960707452835,96432.68629901578,0.8701613743300001,11.476600492619433
06_HKC,1994.0,205.0283462133184,4474000.0,6.055,33.86099854885523,738893.4764657308,3.5222638667856643,13.512909044027156
07_INA,1994.0,1153.0762444626316,5281000.0,193.945,5.945377526941306,27229.36915104798,1.7826140313966923,10.212051417975564
08_JPN,1994.0,4171.3994149926975,79333000.0,126.063,33.08979966360231,629312.3279630026,3.4992250676269587,13.352382959285011
09_ROK,1994.0,718.3866917531199,32188000.0,44.826,16.026116355532945,718065.4084682997,2.7742196637521443,13.484315942026441
10_MAS,1994.0,287.10633060175326,5302000.0,19.987,14.364653554898348,265272.42707760044,2.664770574834359,12.488512603618704
11_MEX,1994.0,1386.5141773449234,11101000.0,92.349,15.013851555998693,120207.04068262785,2.7089732120630825,11.696970874098493
12_NZ,1994.0,92.72448439227699,844000.0,3.623,25.5932885432727,232956.1137179133,3.2423301508355205,12.358605361665154
14_PE,1994.0,146.82590609806903,815000.0,23.619,6.216431944539101,34506.117955882975,1.8271960997983043,10.44889191935256
15_RP,1994.0,278.35091947902316,3114000.0,68.236,4.079238517483779,45635.73480274342,1.4059103331254326,10.728446346557808
16_RUS,1994.0,2089.875554735868,21037000.0,148.412,14.081580699241757,141747.2980621513,2.644867609999736,11.861801160118391
17_SIN,1994.0,155.8719882367333,4089000.0,3.385,46.04785472281634,1207976.366322009,3.8296811757924134,14.004457092982541
18_CT,1994.0,488.06470270580314,22980000.0,21.074,23.15956641861076,1090443.2001518458,3.142407931398756,13.902094777207548
19_THA,1994.0,543.8948152816097,11375000.0,58.901,9.234050615127241,193120.6600906606,2.22289780545674,12.171070454359178
20_USA,1994.0,10782.895772582568,117471000.0,262.741,41.040019534760724,447098.09279861156,3.7145476768555956,13.0105332964975
