Economy,Year,GDP,SteelConsumption,Population
03_CDA,1995.0,996.7620341174236,15047000.0,29.33
04_CHL,1995.0,183.3661079318804,1683000.0,14.297
05_PRC,1995.0,3255.214575049436,99944000.0,1239.94
06_HKC,1995.0,209.89528500709355,3404000.0,6.14
07_INA,1995.0,1247.8591970739742,7262000.0,196.958
08_JPN,1995.0,4285.785040347049,84340000.0,126.376
09_ROK,1995.0,787.1406381589267,37306000.0,45.298
10_MAS,1995.0,315.32625639541175,8313000.0,20.496
11_MEX,1995.0,1299.2853700808623,8423000.0,94.045
12_NZ,1995.0,96.96868500519554,908000.0,3.675
14_PE,1995.0,157.70775403084983,1152000.0,24.039
15_RP,1995.0,291.3741022908218,4686000.0,69.836
16_RUS,1995.0,2003.280967482116,21894000.0,148.289
17_SIN,1995.0,166.82674303721762,4993000.0,3.4789999999999996
18_CT,1995.0,516.0127589501311,24090000.0,21.229
19_THA,1995.0,588.0604984377845,11958000.0,59.49100000000001
20_USA,1995.0,11076.080097968677,112583000.0,265.659
21_VN,1995.0,154.89016241220884,752000.0,75.199
01_AUS,1996.0,601.5798342986807,6400000.0,18.272000000000002
03_CDA,1996.0,1012.8203492369572,15300000.0,29.622
04_CHL,1996.0,195.84035131940846,2159000.0,14.498
05_PRC,1996.0,3578.404402536425,111934000.0,1249.981
06_HKC,1996.0,218.83390895017732,4563000.0,6.242000000000001
07_INA,1996.0,1345.419163555132,7675000.0,199.91400000000002
08_JPN,1996.0,4418.6443462016805,84400000.0,126.654
09_ROK,1996.0,846.9201054694846,39400000.0,45.757
10_MAS,1996.0,346.86739797285986,8705000.0,21.023000000000003
11_MEX,1996.0,1387.2893293755874,11924000.0,95.68700000000001
12_NZ,1996.0,100.22484955385592,916000.0,3.717
14_PE,1996.0,162.12195160986772,856000.0,24.441
15_RP,1996.0,308.4074636415246,4992000.0,71.446
16_RUS,1996.0,1931.1628526438064,19600000.0,148.07399999999998
17_SIN,1996.0,179.39202306798032,4872000.0,3.5660000000000003
18_CT,1996.0,541.8761508604206,21610000.0,21.364
19_THA,1996.0,621.2998768159163,9684000.0,60.152
20_USA,1996.0,11496.514943363645,119867000.0,268.803
21_VN,1996.0,169.35693068107847,1703000.0,76.373
01_AUS,1997.0,625.4410201081226,6500000.0,18.468
03_CDA,1997.0,1056.1671604706642,17700000.0,29.903000000000002
04_CHL,1997.0,210.38715681479906,2321000.0,14.695
05_PRC,1997.0,3908.7186550782453,114721000.0,1259.067
06_HKC,1997.0,229.993805177328,5116000.0,6.357
07_INA,1997.0,1408.6522343194315,7486000.0,202.827
08_JPN,1997.0,4466.1909581054415,85500000.0,126.902
09_ROK,1997.0,897.076284851512,39900000.0,46.202
10_MAS,1997.0,372.2676021039283,8848000.0,21.566
11_MEX,1997.0,1482.2749804350512,14438000.0,97.28200000000001
12_NZ,1997.0,103.24001131398529,780000.0,3.752
14_PE,1997.0,172.62230576320846,1160000.0,24.828000000000003
15_RP,1997.0,324.3995079161176,4601000.0,73.065
16_RUS,1997.0,1958.199132568476,18600000.0,147.769
17_SIN,1997.0,194.26562685909678,5611000.0,3.65
18_CT,1997.0,571.7293062429907,25240000.0,21.484
19_THA,1997.0,604.191821944506,8366000.0,60.863
20_USA,1997.0,12012.366614663313,124017000.0,272.137
21_VN,1997.0,183.16305017270162,1720000.0,77.454
01_AUS,1998.0,654.0658254762316,6600000.0,18.665
03_CDA,1998.0,1097.1650257962758,18200000.0,30.178
04_CHL,1998.0,219.4855166624309,2214000.0,14.887
05_PRC,1998.0,4215.068932435674,122939000.0,1267.442
06_HKC,1998.0,216.4640226913534,4961000.0,6.473
07_INA,1998.0,1223.7423223780168,3626000.0,205.715
08_JPN,1998.0,4415.794020358305,72500000.0,127.12799999999999
09_ROK,1998.0,847.9952743932066,25800000.0,46.626999999999995
10_MAS,1998.0,344.8708836412943,4471000.0,22.114
11_MEX,1998.0,1558.818551207984,16832000.0,98.822
12_NZ,1998.0,104.34066552875359,740000.0,3.784
14_PE,1998.0,171.9464246063992,1436000.0,25.2
15_RP,1998.0,322.52863708352817,3257000.0,74.694
16_RUS,1998.0,1854.4145785679762,18400000.0,147.381
17_SIN,1998.0,189.94277035045158,4820000.0,3.7319999999999998
18_CT,1998.0,593.0325290122701,24220000.0,21.596
19_THA,1998.0,558.0694276353637,4187000.0,61.598
20_USA,1998.0,12546.906233599084,135145000.0,275.543
21_VN,1998.0,193.72140262631993,2123000.0,78.453
01_AUS,1999.0,686.8872668259597,6600000.0,18.864
03_CDA,1999.0,1153.8139699999765,18200000.0,30.454
04_CHL,1999.0,218.58102526107223,1737000.0,15.077
05_PRC,1999.0,4538.2587599226645,136181000.0,1275.407
06_HKC,1999.0,221.89012156515182,5037000.0,6.579
07_INA,1999.0,1233.4236670668029,3546000.0,208.612
08_JPN,1999.0,4404.668238677392,71000000.0,127.336
09_ROK,1999.0,943.8918502581674,35200000.0,47.023
10_MAS,1999.0,366.03772041718435,6158000.0,22.656
11_MEX,1999.0,1601.7414656353146,17623000.0,100.3
12_NZ,1999.0,109.75984825905493,830000.0,3.819
14_PE,1999.0,174.51687000825012,929000.0,25.561
15_RP,1999.0,332.46870023759635,3589000.0,76.335
16_RUS,1999.0,1973.0971115982534,21589000.0,146.92
17_SIN,1999.0,201.52017062375046,3706000.0,3.819
18_CT,1999.0,628.6669637695078,24470000.0,21.711
19_THA,1999.0,583.5860269716602,6909000.0,62.306999999999995
20_USA,1999.0,13134.753835321817,127857000.0,278.862
21_VN,1999.0,202.96886208695085,2538000.0,79.391
01_AUS,2000.0,713.9725305391428,6100000.0,19.066
03_CDA,2000.0,1213.6125745394295,19800000.0,30.736
04_CHL,2000.0,230.2247018726185,1977000.0,15.263
05_PRC,2000.0,4923.625387888118,138086000.0,1283.1989999999998
06_HKC,2000.0,238.89460010865537,5223000.0,6.662999999999999
07_INA,2000.0,1294.1089470942295,5287000.0,211.54
08_JPN,2000.0,4527.10184288363,79600000.0,127.53399999999999
09_ROK,2000.0,1028.1287802773247,40000000.0,47.387
10_MAS,2000.0,398.4645195369764,6761000.0,23.186
11_MEX,2000.0,1680.9067962030845,19800000.0,101.72
12_NZ,2000.0,112.27273341967293,960000.0,3.859
14_PE,2000.0,179.2190026385579,1098000.0,25.915
15_RP,2000.0,347.13463321797616,3309000.0,77.991
16_RUS,2000.0,2170.4068227431862,29412000.0,146.39600000000002
17_SIN,2000.0,219.4505173155209,3730000.0,3.9139999999999997
18_CT,2000.0,662.0000428048781,25300000.0,21.84
19_THA,2000.0,609.5887296953002,7177000.0,62.958
20_USA,2000.0,13672.251138380112,133262000.0,281.982
21_VN,2000.0,216.74500096695988,2934000.0,80.285
01_AUS,2001.0,727.7743744291494,6000000.0,19.269000000000002
03_CDA,2001.0,1235.1034576763811,16900000.0,31.025
04_CHL,2001.0,237.8291327005533,2278000.0,15.445
